,RMSE_val,RMSE_train,normalize_function,model_name,model_type,window_len,scaller,rnn_cells,extra_hidden_layer
32,0.04154843199930716,0.030943732223191876,pct_change,LSTM2_RNN-28-W_LEN-STD-SCL-64-RNN_S-1590100478,LSTM2_RNN,28,STD,64,0
33,0.03772429050069645,0.037637615331758495,pct_change,LSTM2_RNN-28-W_LEN-STD-SCL-64-RNN_S-1590100662,LSTM2_RNN,28,STD,64,1
34,0.04347607133707073,0.04235671362536307,pct_change,LSTM2_RNN-28-W_LEN-STD-SCL-256-RNN_S-1590100850,LSTM2_RNN,28,STD,256,0
35,0.04366395526702131,0.04157133310686677,pct_change,LSTM2_RNN-28-W_LEN-STD-SCL-256-RNN_S-1590101204,LSTM2_RNN,28,STD,256,1
36,0.039518695371446325,0.028245040667190413,pct_change,LSTM2_RNN-49-W_LEN-STD-SCL-64-RNN_S-1590101541,LSTM2_RNN,49,STD,64,0
37,0.03926262470598616,0.03281588593052557,pct_change,LSTM2_RNN-49-W_LEN-STD-SCL-64-RNN_S-1590101785,LSTM2_RNN,49,STD,64,1
38,0.04760977130163625,0.03599392476836428,pct_change,LSTM2_RNN-49-W_LEN-STD-SCL-256-RNN_S-1590102035,LSTM2_RNN,49,STD,256,0
39,0.044023249079060654,0.04291452423134077,pct_change,LSTM2_RNN-49-W_LEN-STD-SCL-256-RNN_S-1590102601,LSTM2_RNN,49,STD,256,1
40,3.964950870787292,4.064847549873959,diff,LSTM2_RNN-7-W_LEN-MiMax-SCL-64-RNN_S-1590103057,LSTM2_RNN,7,MiMax,64,0
41,3.983945191108417,4.392826342864684,diff,LSTM2_RNN-7-W_LEN-MiMax-SCL-64-RNN_S-1590103136,LSTM2_RNN,7,MiMax,64,1
42,4.1338779843584135,4.467932942079837,diff,LSTM2_RNN-7-W_LEN-MiMax-SCL-256-RNN_S-1590103215,LSTM2_RNN,7,MiMax,256,0
43,4.152243953543014,4.5971696374748285,diff,LSTM2_RNN-7-W_LEN-MiMax-SCL-256-RNN_S-1590103339,LSTM2_RNN,7,MiMax,256,1
44,3.871967090474808,4.021859504390959,diff,LSTM2_RNN-14-W_LEN-MiMax-SCL-64-RNN_S-1590103461,LSTM2_RNN,14,MiMax,64,0
45,4.10003789319063,4.360098069144927,diff,LSTM2_RNN-14-W_LEN-MiMax-SCL-64-RNN_S-1590103562,LSTM2_RNN,14,MiMax,64,1
46,3.8770702203801455,4.075401473018128,diff,LSTM2_RNN-14-W_LEN-MiMax-SCL-256-RNN_S-1590103665,LSTM2_RNN,14,MiMax,256,0
47,4.4057931753679735,4.700766162131446,diff,LSTM2_RNN-14-W_LEN-MiMax-SCL-256-RNN_S-1590103860,LSTM2_RNN,14,MiMax,256,1
48,3.9700922040599615,3.9925893516178084,diff,LSTM2_RNN-21-W_LEN-MiMax-SCL-64-RNN_S-1590104066,LSTM2_RNN,21,MiMax,64,0
49,4.5737453319547114,4.896111784119662,diff,LSTM2_RNN-21-W_LEN-MiMax-SCL-64-RNN_S-1590104212,LSTM2_RNN,21,MiMax,64,1
50,4.00772912967026,4.27730884784958,diff,LSTM2_RNN-21-W_LEN-MiMax-SCL-256-RNN_S-1590104362,LSTM2_RNN,21,MiMax,256,0
51,3.8849370876417257,4.1061645376184535,diff,LSTM2_RNN-21-W_LEN-MiMax-SCL-256-RNN_S-1590104597,LSTM2_RNN,21,MiMax,256,1
52,4.218119977844531,4.278140333387428,diff,LSTM2_RNN-28-W_LEN-MiMax-SCL-64-RNN_S-1590104845,LSTM2_RNN,28,MiMax,64,0
53,4.3732802398057435,4.682235267696616,diff,LSTM2_RNN-28-W_LEN-MiMax-SCL-64-RNN_S-1590105003,LSTM2_RNN,28,MiMax,64,1
54,3.8830750253403674,4.068383470539052,diff,LSTM2_RNN-28-W_LEN-MiMax-SCL-256-RNN_S-1590105157,LSTM2_RNN,28,MiMax,256,0
55,3.948057624964152,4.20421153316857,diff,LSTM2_RNN-28-W_LEN-MiMax-SCL-256-RNN_S-1590105451,LSTM2_RNN,28,MiMax,256,1
56,4.3007052804584855,4.361896972565574,diff,LSTM2_RNN-49-W_LEN-MiMax-SCL-64-RNN_S-1590105755,LSTM2_RNN,49,MiMax,64,0
