time_window,p,d,q,P,D,Q,m,t,RMSE
730,2,0,1,1,0,0,7,None,0.041584775637063
730,0,0,0,1,0,0,7,None,0.042407478607795
730,1,0,1,2,0,0,0,None,None
730,1,0,1,2,0,0,7,None,0.040685076122929
730,0,0,1,0,0,0,7,None,0.043901007181829
730,1,0,1,1,0,0,0,None,None
730,1,0,1,1,0,0,7,None,0.041848235990363
730,2,0,1,2,0,0,0,None,None
730,2,0,1,2,0,0,7,None,None
730,0,0,0,0,0,0,0,None,0.043503301652363
730,1,0,0,2,0,1,0,None,None
730,1,0,0,2,0,1,7,None,None
730,0,0,0,0,0,1,0,None,None
730,0,0,1,2,0,0,0,None,None
730,0,0,1,2,0,1,0,None,None
730,1,0,0,1,0,0,0,None,None
730,1,0,0,1,0,0,7,None,0.042768177361393
730,2,0,0,0,0,0,7,None,0.043396877260332
730,2,0,0,2,0,1,0,None,None
730,2,0,0,2,0,1,7,None,0.039401190038277
730,1,0,0,0,0,1,0,None,None
730,1,0,0,0,0,1,7,None,0.043036765714606
730,2,0,0,1,0,0,0,None,None
730,2,0,0,1,0,0,7,None,0.04242308668134
730,2,0,1,2,0,1,0,None,None
730,2,0,1,2,0,1,7,None,None
365,1,0,0,1,0,0,0,None,None
365,1,0,0,1,0,1,0,None,None
365,1,0,0,1,0,1,7,None,0.041694683880443
365,0,0,1,0,0,1,7,None,0.044020466615875
365,2,0,1,0,0,0,7,None,0.043730470492864
365,0,0,1,0,0,0,7,None,0.044478785356904
365,1,0,1,1,0,1,0,None,None
365,1,0,1,1,0,1,7,None,None
365,1,0,0,0,0,0,7,None,0.044558975109426
365,1,0,1,0,0,1,0,None,None
365,1,0,1,0,0,1,7,None,0.043650401852716
365,1,0,0,0,0,1,0,None,None
365,1,0,0,0,0,1,7,None,0.044070888760912
365,2,0,0,1,0,0,0,None,None
365,2,0,0,1,0,0,7,None,0.043506224644224
365,0,0,1,1,0,1,0,None,None
365,0,0,1,1,0,1,7,None,0.041654377648845
365,0,0,1,2,0,0,7,None,0.042956097909153
365,1,0,0,2,0,0,0,None,None
365,1,0,0,2,0,0,7,None,0.042962505915676
365,0,0,0,1,0,1,7,None,0.041112540133801
365,2,0,1,0,0,1,0,None,None
365,2,0,1,0,0,1,7,None,0.043452208971202
365,0,0,0,2,0,0,0,None,None
365,1,0,0,1,0,0,7,None,0.043965451096761
365,2,0,0,1,0,1,0,None,None
365,2,0,0,1,0,1,7,None,0.041801542424089
365,0,0,0,0,0,0,0,None,0.043503301652363
365,1,0,1,0,0,0,0,None,0.044113275061643
365,2,0,0,0,0,1,0,None,None
365,2,0,0,0,0,1,7,None,0.04356416624641
365,2,0,1,1,0,1,0,None,None
365,2,0,1,1,0,1,7,None,None
365,0,0,0,2,0,0,7,None,0.042062615733453
365,2,0,1,1,0,0,0,None,None
365,2,0,1,1,0,0,7,None,0.043386290221557
365,0,0,0,0,0,1,0,None,None
365,0,0,1,2,0,0,0,None,None
365,1,0,0,0,0,0,0,None,0.044558975109426
365,1,0,1,0,0,0,7,None,0.044113275061643
365,2,0,0,2,0,0,0,None,None
365,2,0,0,2,0,0,7,None,0.04266517430104
365,0,0,0,2,0,1,0,None,None
365,0,0,0,2,0,1,7,None,None
365,1,0,1,2,0,0,0,None,None
365,1,0,1,2,0,0,7,None,0.042661584316859
365,0,0,0,1,0,0,0,None,None
365,0,0,0,1,0,1,0,None,None
365,0,0,1,2,0,1,0,None,None
365,0,0,1,2,0,1,7,None,0.04049001036375
365,0,0,0,0,0,0,7,None,0.043503301652363
365,1,0,0,2,0,1,0,None,None
365,1,0,0,2,0,1,7,None,0.040522262725524
365,0,0,0,1,0,0,7,None,0.042904187116457
365,1,0,1,2,0,1,0,None,None
365,1,0,1,2,0,1,7,None,0.040596750876885
365,0,0,1,0,0,1,0,None,None
365,0,0,1,1,0,0,0,None,None
365,0,0,1,1,0,0,7,None,0.043911993020366
365,2,0,0,0,0,0,7,None,0.04394992365577
365,2,0,1,0,0,0,0,None,0.043730470492864
365,2,0,1,2,0,0,0,None,None
365,2,0,1,2,0,0,7,None,0.042376587176729
365,0,0,1,0,0,0,0,None,0.044478785356904
365,1,0,1,1,0,0,0,None,None
365,1,0,1,1,0,0,7,None,0.043513713534384
365,2,0,1,2,0,1,0,None,None
365,2,0,1,2,0,1,7,None,None
365,0,0,0,0,0,1,7,None,0.042996547534443
365,2,0,0,0,0,0,0,None,0.04394992365577
365,2,0,0,2,0,1,0,None,None
