kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-03-10;GAS_BASE_Q-3-16;58.00;58.00;58.00;58.00;11040.00;5.00;640320.00;1.00;58.00;58.00;9024096.00;4087.00;808128.00;366.00
2016-03-10;GAS_BASE_Q-4-16;66.00;66.00;66.00;66.00;33135.00;15.00;2186910.00;5.00;66.00;66.00;10249760.00;4640.00;2299569.00;1041.00
2016-03-10;GAS_BASE_Q-1-17;68.90;68.89;68.75;69.00;32385.00;15.00;2230354.95;4.00;69.00;68.75;449072.00;208.00;524637.00;243.00
2016-03-10;GAS_BASE_S-S-16;58.10;58.10;58.10;58.10;21960.00;5.00;1275876.00;1.00;58.10;58.10;1396656.00;318.00;2788920.00;635.00
2016-03-10;GAS_BASE_S-W-16;67.50;67.45;67.40;67.50;152880.00;35.00;10313066.40;9.00;67.50;67.40;4236960.00;970.00;5652192.00;1294.00
2016-03-10;GAS_BASE_S-S-17;-;64.00;-;-;-;-;-;-;61.00;67.00;96624.00;22.00;96624.00;22.00
2016-03-10;GAS_BASE_Y-17;67.40;67.10;67.00;67.40;306600.00;35.00;20611404.00;17.00;67.40;66.99;11142720.00;1272.00;12982320.00;1482.00
2016-03-10;GAS_BASE_Y-18;70.15;70.10;70.05;70.15;87600.00;10.00;6140760.00;2.00;70.15;70.05;420480.00;48.00;420480.00;48.00
2016-03-11;GAS_BASE_W-11-16;-;-;-;-;-;-;-;-;57.00;60.00;-;-;-;-
2016-03-11;GAS_BASE_W-12-16;-;-;-;-;-;-;-;-;52.00;59.00;-;-;-;-
2016-03-11;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;-;62.00;-;-;-;-
2016-03-11;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;58.50;-;-;-;-;-
2016-03-11;GAS_BASE_M-04-16;58.39;58.40;58.39;58.40;12240.00;17.00;714801.60;5.00;58.40;58.39;1823040.00;2532.00;2152080.00;2989.00
2016-03-11;GAS_BASE_M-05-16;-;57.50;-;-;-;-;-;-;57.25;57.75;20832.00;28.00;24552.00;33.00
2016-03-11;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.50;57.55;-;-;-;-
2016-03-11;GAS_BASE_Q-2-16;-;57.80;-;-;-;-;-;-;57.60;57.90;9749376.00;4464.00;1716624.00;786.00
2016-03-11;GAS_BASE_Q-3-16;-;57.85;-;-;-;-;-;-;57.60;58.00;9024096.00;4087.00;808128.00;366.00
2016-03-11;GAS_BASE_Q-4-16;66.00;65.93;65.85;66.00;22090.00;10.00;1456283.25;2.00;66.00;65.85;10260805.00;4645.00;2321659.00;1051.00
2016-03-11;GAS_BASE_Q-1-17;68.80;68.75;68.70;68.80;21590.00;10.00;1484312.50;2.00;68.80;68.80;470662.00;218.00;546227.00;253.00
2016-03-11;GAS_BASE_S-S-16;-;57.28;-;-;-;-;-;-;56.55;58.00;1396656.00;318.00;2788920.00;635.00
2016-03-11;GAS_BASE_S-W-16;67.39;67.39;67.39;67.39;21840.00;5.00;1471797.60;1.00;67.39;67.39;4258800.00;975.00;5674032.00;1299.00
2016-03-11;GAS_BASE_S-S-17;-;64.00;-;-;-;-;-;-;61.00;67.00;96624.00;22.00;96624.00;22.00
2016-03-11;GAS_BASE_Y-17;67.00;66.99;66.90;67.00;157680.00;18.00;10560180.00;10.00;67.00;66.90;11247840.00;1284.00;13140000.00;1500.00
2016-03-11;GAS_BASE_Y-18;-;69.58;-;-;-;-;-;-;69.00;70.15;420480.00;48.00;420480.00;48.00
2016-03-14;GAS_BASE_W-12-16;58.00;58.00;58.00;58.00;6680.00;40.00;387440.00;2.00;58.00;58.00;6680.00;40.00;6680.00;40.00
2016-03-14;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;56.00;60.85;-;-;-;-
2016-03-14;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-14;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-14;GAS_BASE_M-04-16;57.90;57.90;57.90;57.90;24480.00;34.00;1417392.00;10.00;57.90;57.90;1843920.00;2561.00;2176560.00;3023.00
2016-03-14;GAS_BASE_M-05-16;57.20;57.20;57.20;57.20;3720.00;5.00;212784.00;1.00;57.20;57.25;24552.00;33.00;28272.00;38.00
2016-03-14;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;56.55;57.50;-;-;-;-
2016-03-14;GAS_BASE_Q-2-16;57.50;57.26;57.20;57.50;50232.00;23.00;2877092.40;8.00;57.50;57.20;9799608.00;4487.00;1766856.00;809.00
2016-03-14;GAS_BASE_Q-3-16;57.90;57.63;57.35;57.90;15456.00;7.00;892473.60;2.00;57.90;57.35;9039552.00;4094.00;823584.00;373.00
2016-03-14;GAS_BASE_Q-4-16;65.20;65.03;64.75;65.20;70688.00;32.00;4592952.80;7.00;65.25;64.75;10276268.00;4652.00;2392347.00;1083.00
2016-03-14;GAS_BASE_Q-1-17;68.00;67.87;67.80;68.00;32385.00;15.00;2197862.00;3.00;68.25;67.80;503047.00;233.00;578612.00;268.00
2016-03-14;GAS_BASE_S-S-16;57.25;57.25;57.25;57.25;21960.00;5.00;1257210.00;1.00;57.25;57.19;1418616.00;323.00;2810880.00;640.00
2016-03-14;GAS_BASE_S-W-16;66.75;66.42;66.25;66.75;113568.00;26.00;7541352.00;6.00;66.75;66.25;4306848.00;986.00;5787600.00;1325.00
2016-03-14;GAS_BASE_S-S-17;-;63.00;-;-;-;-;-;-;61.00;65.00;96624.00;22.00;96624.00;22.00
2016-03-14;GAS_BASE_Y-17;66.75;66.72;66.70;66.75;201480.00;23.00;13441782.00;9.00;66.75;66.70;11431800.00;1305.00;13341480.00;1523.00
2016-03-14;GAS_BASE_Y-18;-;69.63;-;-;-;-;-;-;69.25;70.00;420480.00;48.00;420480.00;48.00
2016-03-15;GAS_BASE_W-12-16;-;57.78;-;-;-;-;-;-;57.65;57.90;6680.00;40.00;6680.00;40.00
2016-03-15;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;54.00;61.00;-;-;-;-
2016-03-15;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-15;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-15;GAS_BASE_M-04-16;57.50;57.50;57.50;57.50;28080.00;39.00;1614600.00;9.00;57.50;57.50;1872000.00;2600.00;2204640.00;3062.00
2016-03-15;GAS_BASE_M-05-16;57.00;57.00;57.00;57.00;1488.00;2.00;84816.00;2.00;57.00;57.00;26040.00;35.00;29760.00;40.00
2016-03-15;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;56.00;56.85;-;-;-;-
2016-03-15;GAS_BASE_Q-2-16;56.50;56.50;56.50;56.50;10920.00;5.00;616980.00;3.00;56.50;56.50;9799608.00;4487.00;1777776.00;814.00
2016-03-15;GAS_BASE_Q-3-16;56.50;56.50;56.50;56.50;6624.00;3.00;374256.00;2.00;56.50;56.49;9039552.00;4094.00;830208.00;376.00
2016-03-15;GAS_BASE_Q-4-16;64.50;64.18;64.00;64.50;48598.00;22.00;3119660.25;5.00;64.50;64.00;10300567.00;4663.00;2440945.00;1105.00
2016-03-15;GAS_BASE_Q-1-17;67.00;67.04;67.00;67.20;71247.00;33.00;4777867.00;5.00;67.00;67.00;574294.00;266.00;649859.00;301.00
2016-03-15;GAS_BASE_S-S-16;56.50;56.50;56.50;56.50;21960.00;5.00;1240740.00;1.00;56.50;56.50;1440576.00;328.00;2832840.00;645.00
2016-03-15;GAS_BASE_S-W-16;65.50;65.55;65.50;65.65;87360.00;20.00;5728632.00;3.00;65.65;65.50;4394208.00;1006.00;5874960.00;1345.00
2016-03-15;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;60.00;64.00;96624.00;22.00;96624.00;22.00
2016-03-15;GAS_BASE_Y-17;66.00;66.00;66.00;66.00;245280.00;28.00;16188480.00;15.00;66.00;66.00;11642040.00;1329.00;13586760.00;1551.00
2016-03-15;GAS_BASE_Y-18;-;69.50;-;-;-;-;-;-;69.00;69.90;420480.00;48.00;420480.00;48.00
2016-03-16;GAS_BASE_W-12-16;57.75;57.75;57.75;57.75;334.00;2.00;19288.50;1.00;57.75;57.75;7014.00;42.00;7014.00;42.00
2016-03-16;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;56.00;60.00;-;-;-;-
2016-03-16;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-16;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-16;GAS_BASE_M-04-16;57.80;57.80;57.80;57.80;21600.00;30.00;1248480.00;4.00;57.80;57.80;1893600.00;2630.00;2226240.00;3092.00
2016-03-16;GAS_BASE_M-05-16;57.00;57.00;57.00;57.00;1488.00;2.00;84816.00;1.00;57.00;57.00;26040.00;35.00;31248.00;42.00
2016-03-16;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;57.50;-;-;-;-
2016-03-16;GAS_BASE_Q-2-16;56.90;56.60;56.50;56.90;32760.00;15.00;1852687.20;5.00;57.00;56.50;9799608.00;4487.00;1810536.00;829.00
2016-03-16;GAS_BASE_Q-3-16;56.50;56.63;56.50;56.75;11040.00;5.00;624864.00;2.00;56.75;56.50;9043968.00;4096.00;841248.00;381.00
2016-03-16;GAS_BASE_Q-4-16;64.25;64.18;64.15;64.25;33135.00;15.00;2125831.15;3.00;64.25;64.15;10333702.00;4678.00;2474080.00;1120.00
2016-03-16;GAS_BASE_Q-1-17;67.20;67.20;67.20;67.20;21590.00;10.00;1450848.00;2.00;67.20;67.20;595884.00;276.00;671449.00;311.00
2016-03-16;GAS_BASE_S-S-16;56.40;56.40;56.40;56.40;21960.00;5.00;1238544.00;1.00;56.50;56.40;1440576.00;328.00;2854800.00;650.00
2016-03-16;GAS_BASE_S-W-16;65.60;65.60;65.60;65.60;65520.00;15.00;4298112.00;2.00;65.60;65.60;4459728.00;1021.00;5940480.00;1360.00
2016-03-16;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-16;GAS_BASE_Y-17;66.50;66.29;66.25;66.50;96360.00;11.00;6388230.00;6.00;66.50;66.25;11729640.00;1339.00;13683120.00;1562.00
2016-03-16;GAS_BASE_Y-18;-;69.75;-;-;-;-;-;-;69.50;70.00;420480.00;48.00;420480.00;48.00
2016-03-17;GAS_BASE_W-12-16;57.75;57.56;57.50;57.75;7515.00;45.00;432530.00;4.00;57.75;57.50;10855.00;65.00;14529.00;87.00
2016-03-17;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;53.00;60.00;-;-;-;-
2016-03-17;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-17;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-17;GAS_BASE_M-04-16;57.50;57.50;57.50;57.50;24480.00;34.00;1407600.00;10.00;57.50;57.50;1918080.00;2664.00;2250720.00;3126.00
2016-03-17;GAS_BASE_M-05-16;-;56.88;-;-;-;-;-;-;56.75;57.00;26040.00;35.00;31248.00;42.00
2016-03-17;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;57.30;-;-;-;-
2016-03-17;GAS_BASE_Q-2-16;56.50;56.50;56.50;56.50;15288.00;7.00;863772.00;2.00;56.50;56.50;9799608.00;4487.00;1825824.00;836.00
2016-03-17;GAS_BASE_Q-3-16;56.50;56.50;56.50;56.50;4416.00;2.00;249504.00;2.00;56.50;56.50;9043968.00;4096.00;845664.00;383.00
2016-03-17;GAS_BASE_Q-4-16;63.80;63.81;63.80;63.90;70688.00;32.00;4510336.20;10.00;63.90;63.80;10377882.00;4698.00;2544768.00;1152.00
2016-03-17;GAS_BASE_Q-1-17;-;67.10;-;-;-;-;-;-;67.10;67.20;595884.00;276.00;671449.00;311.00
2016-03-17;GAS_BASE_S-S-16;56.45;56.45;56.45;56.45;43920.00;10.00;2479284.00;2.00;56.45;56.45;1440576.00;328.00;2898720.00;660.00
2016-03-17;GAS_BASE_S-W-16;65.50;65.50;65.50;65.50;109200.00;25.00;7152600.00;3.00;65.50;65.50;4568928.00;1046.00;6049680.00;1385.00
2016-03-17;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-17;GAS_BASE_Y-17;66.35;66.34;66.30;66.35;175200.00;20.00;11622330.00;4.00;66.35;66.30;11861040.00;1354.00;13858320.00;1582.00
2016-03-17;GAS_BASE_Y-18;-;69.50;-;-;-;-;-;-;69.00;70.00;420480.00;48.00;420480.00;48.00
2016-03-18;GAS_BASE_W-12-16;58.25;57.95;57.75;58.25;7849.00;47.00;454490.50;5.00;58.25;57.50;17034.00;102.00;22378.00;134.00
2016-03-18;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;56.00;59.70;-;-;-;-
2016-03-18;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-18;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-18;GAS_BASE_M-04-16;57.60;57.54;57.50;57.60;43200.00;60.00;2485980.00;7.00;57.60;57.50;1960560.00;2723.00;2293920.00;3186.00
2016-03-18;GAS_BASE_M-05-16;-;57.13;-;-;-;-;-;-;57.00;57.25;26040.00;35.00;31248.00;42.00
2016-03-18;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.50;57.50;-;-;-;-
2016-03-18;GAS_BASE_Q-2-16;-;57.00;-;-;-;-;-;-;56.50;57.40;9799608.00;4487.00;1825824.00;836.00
2016-03-18;GAS_BASE_Q-3-16;-;56.70;-;-;-;-;-;-;56.50;56.90;9043968.00;4096.00;845664.00;383.00
2016-03-18;GAS_BASE_Q-4-16;64.00;64.00;64.00;64.00;55225.00;25.00;3534400.00;5.00;64.00;64.00;10422062.00;4718.00;2599993.00;1177.00
2016-03-18;GAS_BASE_Q-1-17;67.25;67.25;67.25;67.25;32385.00;15.00;2177891.25;3.00;67.25;67.25;628269.00;291.00;703834.00;326.00
2016-03-18;GAS_BASE_S-S-16;-;56.85;-;-;-;-;-;-;56.50;57.20;1440576.00;328.00;2898720.00;660.00
2016-03-18;GAS_BASE_S-W-16;65.60;65.60;65.60;65.60;87360.00;20.00;5730816.00;7.00;65.60;65.60;4656288.00;1066.00;6137040.00;1405.00
2016-03-18;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-18;GAS_BASE_Y-17;66.35;66.35;66.35;66.35;87600.00;10.00;5812260.00;2.00;66.35;66.50;11948640.00;1364.00;13945920.00;1592.00
2016-03-18;GAS_BASE_Y-18;-;69.75;-;-;-;-;-;-;69.25;70.25;420480.00;48.00;420480.00;48.00
2016-03-21;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;53.00;58.75;-;-;-;-
2016-03-21;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;53.00;58.80;-;-;-;-
2016-03-21;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-21;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-21;GAS_BASE_M-04-16;57.35;57.21;57.15;57.35;46800.00;65.00;2676960.00;8.00;57.35;57.15;1996560.00;2773.00;2340720.00;3251.00
2016-03-21;GAS_BASE_M-05-16;-;56.83;-;-;-;-;-;-;56.75;56.90;26040.00;35.00;31248.00;42.00
2016-03-21;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;58.40;-;-;-;-
2016-03-21;GAS_BASE_Q-2-16;-;56.55;-;-;-;-;-;-;56.50;56.60;9799608.00;4487.00;1825824.00;836.00
2016-03-21;GAS_BASE_Q-3-16;56.75;56.75;56.75;56.75;2208.00;1.00;125304.00;1.00;56.75;56.75;9046176.00;4097.00;847872.00;384.00
2016-03-21;GAS_BASE_Q-4-16;63.80;63.80;63.80;63.80;33135.00;15.00;2114013.00;3.00;63.80;63.80;10455197.00;4733.00;2633128.00;1192.00
2016-03-21;GAS_BASE_Q-1-17;67.25;67.25;67.25;67.25;21590.00;10.00;1451927.50;2.00;67.25;67.25;649859.00;301.00;725424.00;336.00
2016-03-21;GAS_BASE_S-S-16;-;56.65;-;-;-;-;-;-;56.50;56.79;1440576.00;328.00;2898720.00;660.00
2016-03-21;GAS_BASE_S-W-16;65.50;65.50;65.49;65.50;131040.00;30.00;8582683.20;4.00;65.50;65.49;4787328.00;1096.00;6268080.00;1435.00
2016-03-21;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-21;GAS_BASE_Y-17;66.25;66.25;66.25;66.25;87600.00;10.00;5803500.00;2.00;66.25;66.30;12036240.00;1374.00;14033520.00;1602.00
2016-03-21;GAS_BASE_Y-18;-;69.75;-;-;-;-;-;-;69.50;70.00;420480.00;48.00;420480.00;48.00
2016-03-22;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;54.00;57.00;-;-;-;-
2016-03-22;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;56.00;57.95;-;-;-;-
2016-03-22;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-22;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-22;GAS_BASE_M-04-16;57.20;57.18;57.15;57.30;97200.00;135.00;5556780.00;19.00;57.31;57.15;2079360.00;2888.00;2437920.00;3386.00
2016-03-22;GAS_BASE_M-05-16;-;56.65;-;-;-;-;-;-;56.50;56.80;26040.00;35.00;31248.00;42.00
2016-03-22;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;57.00;-;-;-;-
2016-03-22;GAS_BASE_Q-2-16;-;56.63;-;-;-;-;-;-;56.70;56.75;9799608.00;4487.00;1825824.00;836.00
2016-03-22;GAS_BASE_Q-3-16;-;56.65;-;-;-;-;-;-;56.30;57.00;9046176.00;4097.00;847872.00;384.00
2016-03-22;GAS_BASE_Q-4-16;63.75;63.75;63.75;63.75;24299.00;11.00;1549061.25;3.00;63.75;63.75;10479496.00;4744.00;2657427.00;1203.00
2016-03-22;GAS_BASE_Q-1-17;67.25;67.23;67.20;67.25;118745.00;55.00;7982362.75;8.00;67.25;67.20;757809.00;351.00;844169.00;391.00
2016-03-22;GAS_BASE_S-S-16;-;56.63;-;-;-;-;-;-;56.40;56.85;1440576.00;328.00;2898720.00;660.00
2016-03-22;GAS_BASE_S-W-16;65.50;65.47;65.40;65.50;257712.00;59.00;16875549.60;9.00;65.50;65.40;5045040.00;1155.00;6525792.00;1494.00
2016-03-22;GAS_BASE_S-S-17;-;62.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-22;GAS_BASE_Y-17;66.25;66.25;66.25;66.25;289080.00;33.00;19151550.00;8.00;66.25;66.25;12299040.00;1404.00;14322600.00;1635.00
2016-03-22;GAS_BASE_Y-18;-;69.88;-;-;-;-;-;-;69.75;70.00;420480.00;48.00;420480.00;48.00
2016-03-23;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;53.00;58.00;-;-;-;-
2016-03-23;GAS_BASE_W-14-16;-;-;-;-;-;-;-;-;53.00;58.00;-;-;-;-
2016-03-23;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-23;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-23;GAS_BASE_M-04-16;57.30;57.58;57.30;57.70;101520.00;141.00;5841475.20;12.00;57.70;57.36;2165760.00;3008.00;2539440.00;3527.00
2016-03-23;GAS_BASE_M-05-16;57.00;57.00;57.00;57.00;3720.00;5.00;212040.00;1.00;57.00;57.00;29016.00;39.00;34968.00;47.00
2016-03-23;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;58.00;-;-;-;-
2016-03-23;GAS_BASE_Q-2-16;-;56.68;-;-;-;-;-;-;56.51;56.85;9799608.00;4487.00;1825824.00;836.00
2016-03-23;GAS_BASE_Q-3-16;-;56.63;-;-;-;-;-;-;56.25;57.00;9046176.00;4097.00;847872.00;384.00
2016-03-23;GAS_BASE_Q-4-16;63.50;63.50;63.50;63.50;26508.00;12.00;1683258.00;6.00;63.50;63.48;10490541.00;4749.00;2683935.00;1215.00
2016-03-23;GAS_BASE_Q-1-17;67.25;67.25;67.25;67.25;21590.00;10.00;1451927.50;2.00;67.25;67.25;768604.00;356.00;865759.00;401.00
2016-03-23;GAS_BASE_S-S-16;-;56.60;-;-;-;-;-;-;56.30;56.90;1440576.00;328.00;2898720.00;660.00
2016-03-23;GAS_BASE_S-W-16;-;65.43;-;-;-;-;-;-;65.30;65.40;5045040.00;1155.00;6525792.00;1494.00
2016-03-23;GAS_BASE_S-S-17;-;65.00;-;-;-;-;-;-;60.00;70.00;96624.00;22.00;96624.00;22.00
2016-03-23;GAS_BASE_Y-17;66.25;66.25;66.25;66.25;122640.00;14.00;8124900.00;2.00;66.25;66.25;12421680.00;1418.00;14445240.00;1649.00
2016-03-23;GAS_BASE_Y-18;69.95;69.95;69.95;69.95;43800.00;5.00;3063810.00;1.00;69.95;70.00;464280.00;53.00;464280.00;53.00
2016-03-24;GAS_BASE_W-13-16;-;-;-;-;-;-;-;-;55.01;57.25;-;-;-;-
2016-03-24;GAS_BASE_W-14-16;57.50;57.50;57.50;57.50;1680.00;10.00;96600.00;1.00;57.50;57.50;1680.00;10.00;1680.00;10.00
2016-03-24;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-24;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-24;GAS_BASE_M-04-16;57.70;58.00;57.70;58.45;82800.00;115.00;4804308.00;10.00;58.45;57.75;2230560.00;3098.00;2622240.00;3642.00
2016-03-24;GAS_BASE_M-05-16;-;56.75;-;-;-;-;-;-;56.50;57.00;29016.00;39.00;34968.00;47.00
2016-03-24;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;57.50;-;-;-;-
2016-03-24;GAS_BASE_Q-2-16;-;57.00;-;-;-;-;-;-;56.75;57.20;9799608.00;4487.00;1825824.00;836.00
2016-03-24;GAS_BASE_Q-3-16;-;56.83;-;-;-;-;-;-;56.65;57.00;9046176.00;4097.00;847872.00;384.00
2016-03-24;GAS_BASE_Q-4-16;63.50;63.50;63.50;63.50;22090.00;10.00;1402715.00;2.00;63.50;63.50;10512631.00;4759.00;2706025.00;1225.00
2016-03-24;GAS_BASE_Q-1-17;67.25;67.25;67.25;67.25;43180.00;20.00;2903855.00;4.00;67.25;67.25;790194.00;366.00;908939.00;421.00
2016-03-24;GAS_BASE_S-S-16;-;56.73;-;-;-;-;-;-;56.25;57.20;1440576.00;328.00;2898720.00;660.00
2016-03-24;GAS_BASE_S-W-16;65.45;65.45;65.45;65.45;26208.00;6.00;1715313.60;2.00;65.45;65.45;5071248.00;1161.00;6552000.00;1500.00
2016-03-24;GAS_BASE_S-S-17;-;65.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-24;GAS_BASE_Y-17;66.25;66.25;66.25;66.25;175200.00;20.00;11607000.00;5.00;66.25;66.25;12596880.00;1438.00;14620440.00;1669.00
2016-03-24;GAS_BASE_Y-18;70.00;70.00;70.00;70.00;26280.00;3.00;1839600.00;1.00;70.00;70.25;490560.00;56.00;490560.00;56.00
2016-03-25;GAS_BASE_W-13-16;57.80;57.53;57.25;57.80;5040.00;30.00;290388.00;2.00;57.80;57.20;5040.00;30.00;5040.00;30.00
2016-03-25;GAS_BASE_W-14-16;57.80;57.80;57.80;57.80;6720.00;40.00;388416.00;2.00;57.80;57.80;8400.00;50.00;8400.00;50.00
2016-03-25;GAS_BASE_W-15-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-25;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-25;GAS_BASE_M-04-16;58.45;58.14;58.00;58.75;61200.00;85.00;3556440.00;11.00;58.75;58.00;2280960.00;3168.00;2683440.00;3727.00
2016-03-25;GAS_BASE_M-05-16;-;56.75;-;-;-;-;-;-;56.50;57.00;29016.00;39.00;34968.00;47.00
2016-03-25;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.25;65.00;-;-;-;-
2016-03-25;GAS_BASE_Q-2-16;-;57.00;-;-;-;-;-;-;56.75;57.25;9799608.00;4487.00;1825824.00;836.00
2016-03-25;GAS_BASE_Q-3-16;-;56.73;-;-;-;-;-;-;56.50;56.95;9046176.00;4097.00;847872.00;384.00
2016-03-25;GAS_BASE_Q-4-16;-;63.27;-;-;-;-;-;-;63.25;63.29;10512631.00;4759.00;2706025.00;1225.00
2016-03-25;GAS_BASE_Q-1-17;-;68.58;-;-;-;-;-;-;67.25;69.90;790194.00;366.00;908939.00;421.00
2016-03-25;GAS_BASE_S-S-16;-;56.85;-;-;-;-;-;-;56.25;57.45;1440576.00;328.00;2898720.00;660.00
2016-03-25;GAS_BASE_S-W-16;-;65.88;-;-;-;-;-;-;65.25;66.50;5071248.00;1161.00;6552000.00;1500.00
2016-03-25;GAS_BASE_S-S-17;-;65.00;-;-;-;-;-;-;-;-;96624.00;22.00;96624.00;22.00
2016-03-25;GAS_BASE_Y-17;-;66.50;-;-;-;-;-;-;66.25;66.75;12596880.00;1438.00;14620440.00;1669.00
2016-03-25;GAS_BASE_Y-18;-;69.63;-;-;-;-;-;-;69.50;69.75;490560.00;56.00;490560.00;56.00
2016-03-29;GAS_BASE_W-14-16;-;57.40;-;-;-;-;-;-;57.05;57.75;8400.00;50.00;8400.00;50.00
2016-03-29;GAS_BASE_W-15-16;57.50;57.50;57.50;57.50;1680.00;10.00;96600.00;1.00;57.50;57.50;1680.00;10.00;1680.00;10.00
2016-03-29;GAS_BASE_W-16-16;-;-;-;-;-;-;-;-;57.00;60.00;-;-;-;-
2016-03-29;GAS_BASE_W-17-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-03-29;GAS_BASE_M-04-16;57.01;58.09;57.00;58.25;165600.00;230.00;9576900.00;25.00;58.25;57.00;2410560.00;3348.00;2849040.00;3957.00
2016-03-29;GAS_BASE_M-05-16;56.50;56.50;56.50;56.50;3720.00;5.00;210180.00;1.00;56.50;56.50;32736.00;44.00;38688.00;52.00
2016-03-29;GAS_BASE_M-06-16;-;-;-;-;-;-;-;-;55.50;56.50;-;-;-;-
2016-03-29;GAS_BASE_Q-2-16;56.50;56.28;56.25;56.50;54600.00;25.00;3073980.00;9.00;56.50;56.25;9843288.00;4507.00;1880424.00;861.00
2016-03-29;GAS_BASE_Q-3-16;-;56.33;-;-;-;-;-;-;56.25;56.40;9046176.00;4097.00;847872.00;384.00
2016-03-29;GAS_BASE_Q-4-16;63.25;63.11;63.00;63.25;35344.00;16.00;2232746.75;7.00;63.25;63.00;10536930.00;4770.00;2741369.00;1241.00
2016-03-29;GAS_BASE_Q-1-17;66.50;66.51;66.50;66.55;53975.00;25.00;3589877.25;5.00;66.55;66.50;833374.00;386.00;962914.00;446.00
