kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-07;GAS_BASE_S-S-16;-;69.75;-;-;-;-;-;-;69.50;70.00;808128.00;184.00;1664568.00;379.00
2016-01-07;GAS_BASE_S-W-16;75.60;75.60;75.60;75.60;43680.00;10.00;3302208.00;2.00;75.60;75.55;1231776.00;282.00;1790880.00;410.00
2016-01-07;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-07;GAS_BASE_Y-17;74.50;74.50;74.50;74.50;8760.00;1.00;652620.00;1.00;74.50;74.50;8479680.00;968.00;9346920.00;1067.00
2016-01-07;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.50;77.00;-;-;-;-
2016-01-08;GAS_BASE_W-02-16;74.00;74.00;74.00;74.00;4200.00;25.00;310800.00;2.00;74.00;74.00;82320.00;490.00;84000.00;500.00
2016-01-08;GAS_BASE_W-03-16;-;-;-;-;-;-;-;-;73.50;74.75;-;-;-;-
2016-01-08;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.50;-;-;-;-;-
2016-01-08;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;70.75;-;-;-;-;-
2016-01-08;GAS_BASE_M-02-16;71.00;70.95;70.85;71.00;32712.00;47.00;2320464.00;7.00;71.00;70.85;9422448.00;13538.00;553320.00;795.00
2016-01-08;GAS_BASE_M-03-16;71.50;71.50;71.50;71.50;1486.00;2.00;106249.00;1.00;71.50;70.95;9580242.00;12894.00;74300.00;100.00
2016-01-08;GAS_BASE_M-04-16;70.50;70.50;70.50;70.50;46800.00;65.00;3299400.00;3.00;70.50;70.50;122400.00;170.00;126000.00;175.00
2016-01-08;GAS_BASE_Q-2-16;70.00;70.00;70.00;70.00;10920.00;5.00;764400.00;1.00;70.00;70.00;9150960.00;4190.00;875784.00;401.00
2016-01-08;GAS_BASE_Q-3-16;69.00;69.00;69.00;69.00;11040.00;5.00;761760.00;1.00;69.00;69.00;8880576.00;4022.00;461472.00;209.00
2016-01-08;GAS_BASE_Q-4-16;74.50;74.50;74.50;74.51;170093.00;77.00;12672149.40;10.00;74.51;74.50;9363951.00;4239.00;1111127.00;503.00
2016-01-08;GAS_BASE_Q-1-17;77.00;77.00;77.00;77.00;6477.00;3.00;498729.00;1.00;77.00;77.00;6477.00;3.00;8636.00;4.00
2016-01-08;GAS_BASE_S-S-16;69.40;69.40;69.40;69.40;43920.00;10.00;3048048.00;2.00;69.40;69.35;808128.00;184.00;1708488.00;389.00
2016-01-08;GAS_BASE_S-W-16;75.50;75.50;75.50;75.50;78624.00;18.00;5936112.00;2.00;75.50;75.40;1231776.00;282.00;1869504.00;428.00
2016-01-08;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-08;GAS_BASE_Y-17;74.50;74.50;74.50;74.50;52560.00;6.00;3915720.00;2.00;74.50;74.50;8532240.00;974.00;9399480.00;1073.00
2016-01-08;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;71.00;77.00;-;-;-;-
2016-01-11;GAS_BASE_W-03-16;75.00;75.00;75.00;75.00;25200.00;150.00;1890000.00;4.00;75.25;74.50;25200.00;150.00;25200.00;150.00
2016-01-11;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.00;74.50;-;-;-;-
2016-01-11;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;70.00;-;-;-;-;-
2016-01-11;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;70.00;-;-;-;-;-
2016-01-11;GAS_BASE_M-02-16;70.90;71.34;70.90;71.85;28536.00;41.00;2033718.96;10.00;71.85;70.70;9428712.00;13547.00;581856.00;836.00
2016-01-11;GAS_BASE_M-03-16;71.25;71.25;71.25;71.25;3715.00;5.00;264693.75;1.00;71.25;70.95;9580242.00;12894.00;78015.00;105.00
2016-01-11;GAS_BASE_M-04-16;-;70.38;-;-;-;-;-;-;70.25;70.50;122400.00;170.00;126000.00;175.00
2016-01-11;GAS_BASE_Q-2-16;-;69.50;-;-;-;-;-;-;69.00;70.00;9150960.00;4190.00;875784.00;401.00
2016-01-11;GAS_BASE_Q-3-16;-;69.00;-;-;-;-;-;-;68.50;69.50;8880576.00;4022.00;461472.00;209.00
2016-01-11;GAS_BASE_Q-4-16;74.60;74.60;74.60;74.60;22090.00;10.00;1647914.00;2.00;74.60;74.60;9386041.00;4249.00;1133217.00;513.00
2016-01-11;GAS_BASE_Q-1-17;-;76.50;-;-;-;-;-;-;76.00;77.00;6477.00;3.00;8636.00;4.00
2016-01-11;GAS_BASE_S-S-16;-;69.23;-;-;-;-;-;-;68.70;69.75;808128.00;184.00;1708488.00;389.00
2016-01-11;GAS_BASE_S-W-16;-;75.45;-;-;-;-;-;-;75.30;75.60;1231776.00;282.00;1869504.00;428.00
2016-01-11;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-11;GAS_BASE_Y-17;74.30;74.30;74.30;74.30;43800.00;5.00;3254340.00;1.00;74.30;74.30;8567280.00;978.00;9443280.00;1078.00
2016-01-11;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;71.00;77.00;-;-;-;-
2016-01-12;GAS_BASE_W-03-16;-;74.25;-;-;-;-;-;-;74.00;74.50;25200.00;150.00;25200.00;150.00
2016-01-12;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.20;75.00;-;-;-;-
2016-01-12;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;71.00;-;-;-;-;-
2016-01-12;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;71.00;-;-;-;-;-
2016-01-12;GAS_BASE_M-02-16;70.00;70.07;70.00;70.20;25752.00;37.00;1804728.00;7.00;70.20;69.75;9449592.00;13577.00;607608.00;873.00
2016-01-12;GAS_BASE_M-03-16;68.00;68.00;68.00;68.00;4458.00;6.00;303144.00;2.00;69.00;68.00;9580242.00;12894.00;82473.00;111.00
2016-01-12;GAS_BASE_M-04-16;69.00;68.37;68.00;69.00;43200.00;60.00;2952720.00;10.00;69.00;68.20;136800.00;190.00;169200.00;235.00
2016-01-12;GAS_BASE_Q-2-16;68.00;67.68;67.50;68.00;78624.00;36.00;5322408.00;7.00;68.00;67.50;9207744.00;4216.00;954408.00;437.00
2016-01-12;GAS_BASE_Q-3-16;67.25;67.13;67.00;67.25;22080.00;10.00;1482120.00;2.00;67.25;67.00;8891616.00;4027.00;483552.00;219.00
2016-01-12;GAS_BASE_Q-4-16;74.00;73.75;73.50;74.00;4418.00;2.00;325827.50;2.00;74.00;73.50;9390459.00;4251.00;1137635.00;515.00
2016-01-12;GAS_BASE_Q-1-17;75.00;75.00;75.00;75.00;6477.00;3.00;485775.00;1.00;74.75;75.00;10795.00;5.00;15113.00;7.00
2016-01-12;GAS_BASE_S-S-16;66.75;66.75;66.75;66.75;21960.00;5.00;1465830.00;1.00;67.50;66.75;786168.00;179.00;1730448.00;394.00
