TransactionDate,TGEgasDA
2016-10-17,73.92
2016-10-18,74.85
2016-10-19,76.31
2016-10-20,78.57
2016-10-21,79.82
2016-10-22,77.95
2016-10-23,77.07
2016-10-24,77.41
2016-10-25,80.46
2016-10-26,80.57
2016-10-27,80.88
2016-10-28,80.75
2016-10-29,79.87
2016-10-30,78.07
2016-10-31,79.31
2016-11-01,78.97
2016-11-02,81.87
2016-11-03,84.53
2016-11-04,87.89
2016-11-05,83.17
2016-11-06,82.66
2016-11-07,84.61
2016-11-08,84.6
2016-11-09,80.46
2016-11-10,82.52
2016-11-11,83.99
2016-11-12,85.0
2016-11-13,86.11
2016-11-14,87.0
2016-11-15,83.52
2016-11-16,83.28
2016-11-17,84.26
2016-11-18,81.45
2016-11-19,83.75
2016-11-20,82.81
2016-11-21,84.57
2016-11-22,81.41
2016-11-23,82.33
2016-11-24,82.95
2016-11-25,83.09
2016-11-26,83.66
2016-11-27,83.4
2016-11-28,83.96
2016-11-29,84.97
2016-11-30,85.48
2016-12-01,85.34
2016-12-02,85.05
2016-12-03,85.27
2016-12-04,84.14
2016-12-05,85.04
2016-12-06,84.6
2016-12-07,81.46
2016-12-08,79.38
2016-12-09,78.15
2016-12-10,80.76
2016-12-11,79.72
2016-12-12,82.0
2016-12-13,84.62
2016-12-14,83.6
2016-12-15,83.11
2016-12-16,83.94
2016-12-17,83.36
2016-12-18,82.95
2016-12-19,84.93
2016-12-20,84.01
2016-12-21,85.32
2016-12-22,84.93
2016-12-23,85.85
2016-12-24,85.72
2016-12-25,83.57
2016-12-26,85.16
2016-12-27,86.0
2016-12-28,87.08
2016-12-29,88.93
2016-12-30,91.02
2016-12-31,93.16
2017-01-01,88.65
2017-01-02,93.69
2017-01-03,92.23
2017-01-04,88.91
2017-01-05,89.38
2017-01-06,91.0
2017-01-07,90.34
2017-01-08,90.24
2017-01-09,94.01
2017-01-10,92.87
2017-01-11,93.33
2017-01-12,93.75
2017-01-13,98.53
2017-01-14,96.92
2017-01-15,95.92
2017-01-16,96.0
2017-01-17,91.51
2017-01-18,91.28
2017-01-19,93.56
2017-01-20,95.0
2017-01-21,95.65
2017-01-22,95.43
2017-01-23,99.09
2017-01-24,100.84
2017-01-25,100.41
2017-01-26,97.54
2017-01-27,94.95
2017-01-28,89.32
2017-01-29,91.87
2017-01-30,91.76
2017-01-31,92.03
2017-02-01,96.54
2017-02-02,100.26
2017-02-03,102.32
2017-02-04,102.52
2017-02-05,102.13
2017-02-06,102.66
2017-02-07,101.78
2017-02-08,98.61
2017-02-09,95.92
2017-02-10,93.82
2017-02-11,91.63
2017-02-12,91.97
2017-02-13,92.56
2017-02-14,91.36
2017-02-15,89.51
2017-02-16,87.62
2017-02-17,88.01
2017-02-18,84.63
2017-02-19,84.9
2017-02-20,85.97
2017-02-21,85.43
2017-02-22,83.8
2017-02-23,81.74
2017-02-24,84.01
2017-02-25,83.27
2017-02-26,83.19
2017-02-27,81.88
2017-02-28,80.43
2017-03-01,80.96
2017-03-02,77.96
2017-03-03,78.94
2017-03-04,76.6
2017-03-05,72.04
2017-03-06,78.47
2017-03-07,77.93
2017-03-08,79.32
2017-03-09,78.18
2017-03-10,76.49
2017-03-11,77.08
2017-03-12,76.52
2017-03-13,76.6
2017-03-14,75.67
2017-03-15,75.97
2017-03-16,76.33
2017-03-17,75.3
2017-03-18,74.11
2017-03-19,73.0
2017-03-20,74.83
2017-03-21,73.61
2017-03-22,72.68
2017-03-23,71.94
2017-03-24,72.22
2017-03-25,70.9
2017-03-26,69.83
2017-03-27,70.48
2017-03-28,69.26
2017-03-29,68.31
2017-03-30,68.12
2017-03-31,65.02
2017-04-01,72.41
2017-04-02,64.07
2017-04-03,72.2
2017-04-04,73.25
2017-04-05,74.63
2017-04-06,74.95
2017-04-07,74.5
