indeksy RDNg dla okresu od;2016-01-01;do;2020-01-19;

data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh)
2018-11-22;TGEsgtDA;-;-
2018-11-23;TGEgasDA;114.41;97680.00
2018-11-23;TGEsgtDA;-;-
2018-11-24;TGEgasDA;117.63;65064.00
2018-11-24;TGEsgtDA;-;-
2018-11-25;TGEgasDA;117.38;20328.00
2018-11-25;TGEsgtDA;-;-
2018-11-26;TGEgasDA;117.50;53520.00
2018-11-26;TGEsgtDA;-;-
2018-11-27;TGEgasDA;115.54;78624.00
2018-11-27;TGEsgtDA;-;-
2018-11-28;TGEgasDA;117.27;101208.00
2018-11-28;TGEsgtDA;-;-
2018-11-29;TGEgasDA;116.43;121560.00
2018-11-29;TGEsgtDA;-;-
2018-11-30;TGEgasDA;116.29;125496.00
2018-11-30;TGEsgtDA;-;-
2018-12-01;TGEgasDA;115.18;105456.00
2018-12-01;TGEsgtDA;-;-
2018-12-02;TGEgasDA;111.12;5832.00
2018-12-02;TGEsgtDA;-;-
2018-12-03;TGEgasDA;111.67;114504.00
2018-12-03;TGEsgtDA;-;-
2018-12-04;TGEgasDA;114.80;86400.00
2018-12-04;TGEsgtDA;-;-
2018-12-05;TGEgasDA;113.53;100104.00
2018-12-05;TGEsgtDA;-;-
2018-12-06;TGEgasDA;111.94;92472.00
2018-12-06;TGEsgtDA;-;-
2018-12-07;TGEgasDA;107.19;62088.00
2018-12-07;TGEsgtDA;-;-
2018-12-08;TGEgasDA;104.94;56808.00
2018-12-08;TGEsgtDA;-;-
2018-12-09;TGEgasDA;101.15;3360.00
2018-12-09;TGEsgtDA;-;-
2018-12-10;TGEgasDA;106.51;55848.00
2018-12-10;TGEsgtDA;-;-
2018-12-11;TGEgasDA;108.24;79416.00
2018-12-11;TGEsgtDA;-;-
2018-12-12;TGEgasDA;111.17;101544.00
2018-12-12;TGEsgtDA;-;-
2018-12-13;TGEgasDA;113.34;109416.00
2018-12-13;TGEsgtDA;-;-
2018-12-14;TGEgasDA;115.35;120648.00
2018-12-14;TGEsgtDA;-;-
2018-12-15;TGEgasDA;116.06;187176.00
2018-12-15;TGEsgtDA;-;-
2018-12-16;TGEgasDA;115.97;21096.00
2018-12-16;TGEsgtDA;-;-
2018-12-17;TGEgasDA;117.03;88104.00
2018-12-17;TGEsgtDA;-;-
2018-12-18;TGEgasDA;116.67;105192.00
2018-12-18;TGEsgtDA;-;-
2018-12-19;TGEgasDA;113.58;95904.00
2018-12-19;TGEsgtDA;-;-
2018-12-20;TGEgasDA;114.23;92688.00
2018-12-20;TGEglwDA;-;-
2018-12-20;TGEsgtDA;-;-
2018-12-21;TGEgasDA;113.77;60744.00
2018-12-21;TGEglwDA;-;-
2018-12-21;TGEsgtDA;-;-
2018-12-22;TGEgasDA;109.69;24432.00
2018-12-22;TGEglwDA;-;-
2018-12-22;TGEsgtDA;-;-
2018-12-23;TGEgasDA;104.36;21504.00
2018-12-23;TGEglwDA;-;-
2018-12-23;TGEsgtDA;-;-
2018-12-24;TGEgasDA;111.81;56496.00
2018-12-24;TGEglwDA;-;-
2018-12-24;TGEsgtDA;-;-
2018-12-25;TGEgasDA;110.81;36816.00
2018-12-25;TGEglwDA;-;-
2018-12-25;TGEsgtDA;-;-
2018-12-26;TGEgasDA;110.27;36624.00
2018-12-26;TGEglwDA;-;-
2018-12-26;TGEsgtDA;-;-
2018-12-27;TGEgasDA;113.92;58752.00
2018-12-27;TGEglwDA;-;-
2018-12-27;TGEsgtDA;-;-
2018-12-28;TGEgasDA;111.12;57096.00
2018-12-28;TGEglwDA;-;-
2018-12-28;TGEsgtDA;-;-
2018-12-29;TGEgasDA;104.15;62736.00
2018-12-29;TGEglwDA;-;-
2018-12-29;TGEsgtDA;-;-
2018-12-30;TGEgasDA;98.50;6744.00
2018-12-30;TGEglwDA;-;-
2018-12-30;TGEsgtDA;-;-
2018-12-31;TGEgasDA;104.85;39720.00
2018-12-31;TGEglwDA;-;-
2018-12-31;TGEsgtDA;-;-
2019-01-01;TGEgasDA;92.42;18888.00
2019-01-01;TGEglwDA;-;-
2019-01-01;TGEsgtDA;-;-
2019-01-02;TGEgasDA;97.46;13008.00
2019-01-02;TGEglwDA;-;-
2019-01-02;TGEsgtDA;-;-
2019-01-03;TGEgasDA;103.18;62664.00
2019-01-03;TGEglwDA;-;-
2019-01-03;TGEsgtDA;-;-
2019-01-04;TGEgasDA;104.11;75720.00
2019-01-04;TGEglwDA;-;-
2019-01-04;TGEsgtDA;-;-
2019-01-05;TGEgasDA;105.24;91152.00
2019-01-05;TGEglwDA;-;-
2019-01-05;TGEsgtDA;-;-
2019-01-06;TGEgasDA;104.66;24528.00
2019-01-06;TGEglwDA;-;-
2019-01-06;TGEsgtDA;-;-
2019-01-07;TGEgasDA;106.39;81648.00
2019-01-07;TGEglwDA;-;-
2019-01-07;TGEsgtDA;-;-
2019-01-08;TGEgasDA;102.57;69072.00
2019-01-08;TGEglwDA;-;-
2019-01-08;TGEsgtDA;-;-
2019-01-09;TGEgasDA;103.55;92640.00
2019-01-09;TGEglwDA;-;-
2019-01-09;TGEsgtDA;-;-
2019-01-10;TGEgasDA;106.74;117840.00
2019-01-10;TGEglwDA;-;-
2019-01-10;TGEsgtDA;-;-
2019-01-11;TGEgasDA;102.47;92136.00
2019-01-11;TGEglwDA;-;-
2019-01-11;TGEsgtDA;-;-
2019-01-12;TGEgasDA;104.89;62400.00
2019-01-12;TGEglwDA;-;-
2019-01-12;TGEsgtDA;-;-
2019-01-13;TGEgasDA;94.20;5160.00
2019-01-13;TGEglwDA;-;-
2019-01-13;TGEsgtDA;-;-
2019-01-14;TGEgasDA;103.99;40176.00
2019-01-14;TGEglwDA;-;-
2019-01-14;TGEsgtDA;-;-
2019-01-15;TGEgasDA;102.81;44880.00
2019-01-15;TGEglwDA;-;-
2019-01-15;TGEsgtDA;-;-
2019-01-16;TGEgasDA;103.52;37920.00
2019-01-16;TGEglwDA;-;-
2019-01-16;TGEsgtDA;-;-
2019-01-17;TGEgasDA;104.10;79008.00
2019-01-17;TGEglwDA;-;-
2019-01-17;TGEsgtDA;-;-
2019-01-18;TGEgasDA;106.75;111912.00
2019-01-18;TGEglwDA;-;-
2019-01-18;TGEsgtDA;-;-
2019-01-19;TGEgasDA;107.27;230832.00
2019-01-19;TGEglwDA;-;-
2019-01-19;TGEsgtDA;-;-
2019-01-20;TGEgasDA;106.94;9456.00
2019-01-20;TGEglwDA;-;-
2019-01-20;TGEsgtDA;-;-
2019-01-21;TGEgasDA;107.97;115872.00
2019-01-21;TGEglwDA;-;-
2019-01-21;TGEsgtDA;-;-
2019-01-22;TGEgasDA;104.02;135648.00
2019-01-22;TGEglwDA;-;-
2019-01-22;TGEsgtDA;-;-
2019-01-23;TGEgasDA;104.32;145440.00
2019-01-23;TGEglwDA;-;-
2019-01-23;TGEsgtDA;-;-
2019-01-24;TGEgasDA;105.89;173568.00
2019-01-24;TGEglwDA;-;-
2019-01-24;TGEsgtDA;-;-
2019-01-25;TGEgasDA;104.27;174384.00
2019-01-25;TGEglwDA;-;-
2019-01-25;TGEsgtDA;-;-
2019-01-26;TGEgasDA;99.01;210456.00
2019-01-26;TGEglwDA;-;-
2019-01-26;TGEsgtDA;-;-
2019-01-27;TGEgasDA;91.83;8544.00
2019-01-27;TGEglwDA;-;-
2019-01-27;TGEsgtDA;-;-
2019-01-28;TGEgasDA;99.72;70224.00
2019-01-28;TGEglwDA;-;-
2019-01-28;TGEsgtDA;-;-
2019-01-29;TGEgasDA;99.49;106896.00
2019-01-29;TGEglwDA;-;-
2019-01-29;TGEsgtDA;-;-
2019-01-30;TGEgasDA;98.45;105816.00
2019-01-30;TGEglwDA;-;-
2019-01-30;TGEsgtDA;-;-
2019-01-31;TGEgasDA;100.98;87144.00
2019-01-31;TGEglwDA;-;-
2019-01-31;TGEsgtDA;-;-
2019-02-01;TGEgasDA;95.39;16872.00
2019-02-01;TGEglwDA;-;-
2019-02-01;TGEsgtDA;-;-
2019-02-02;TGEgasDA;84.41;113616.00
2019-02-02;TGEglwDA;-;-
2019-02-02;TGEsgtDA;-;-
2019-02-03;TGEgasDA;84.75;2088.00
2019-02-03;TGEglwDA;-;-
2019-02-03;TGEsgtDA;-;-
2019-02-04;TGEgasDA;93.55;67104.00
2019-02-04;TGEglwDA;-;-
2019-02-04;TGEsgtDA;-;-
2019-02-05;TGEgasDA;92.04;86712.00
2019-02-05;TGEglwDA;-;-
2019-02-05;TGEsgtDA;-;-
2019-02-06;TGEgasDA;94.52;74544.00
2019-02-06;TGEglwDA;-;-
2019-02-06;TGEsgtDA;-;-
2019-02-07;TGEgasDA;93.32;47688.00
2019-02-07;TGEglwDA;-;-
2019-02-07;TGEsgtDA;-;-
2019-02-08;TGEgasDA;92.99;48528.00
2019-02-08;TGEglwDA;-;-
2019-02-08;TGEsgtDA;-;-
2019-02-09;TGEgasDA;87.53;24168.00
2019-02-09;TGEglwDA;-;-
2019-02-09;TGEsgtDA;-;-
2019-02-10;TGEgasDA;79.30;24048.00
2019-02-10;TGEglwDA;-;-
2019-02-10;TGEsgtDA;-;-
2019-02-11;TGEgasDA;89.68;32664.00
2019-02-11;TGEglwDA;-;-
2019-02-11;TGEsgtDA;-;-
2019-02-12;TGEgasDA;88.40;58512.00
2019-02-12;TGEglwDA;-;-
2019-02-12;TGEsgtDA;-;-
2019-02-13;TGEgasDA;88.01;39696.00
2019-02-13;TGEglwDA;-;-
2019-02-13;TGEsgtDA;-;-
2019-02-14;TGEgasDA;87.98;32088.00
2019-02-14;TGEglwDA;-;-
2019-02-14;TGEsgtDA;-;-
2019-02-15;TGEgasDA;89.33;21768.00
2019-02-15;TGEglwDA;-;-
2019-02-15;TGEsgtDA;-;-
2019-02-16;TGEgasDA;80.41;71520.00
2019-02-16;TGEglwDA;-;-
2019-02-16;TGEsgtDA;-;-
2019-02-17;TGEgasDA;79.10;14064.00
2019-02-17;TGEglwDA;-;-
2019-02-17;TGEsgtDA;-;-
2019-02-18;TGEgasDA;81.52;19632.00
2019-02-18;TGEglwDA;-;-
2019-02-18;TGEsgtDA;-;-
2019-02-19;TGEgasDA;80.48;25320.00
2019-02-19;TGEglwDA;-;-
2019-02-19;TGEsgtDA;-;-
2019-02-20;TGEgasDA;79.36;18768.00
2019-02-20;TGEglwDA;-;-
2019-02-20;TGEsgtDA;-;-
2019-02-21;TGEgasDA;87.06;7416.00
2019-02-21;TGEglwDA;-;-
2019-02-21;TGEsgtDA;-;-
2019-02-22;TGEgasDA;87.17;58752.00
2019-02-22;TGEglwDA;-;-
2019-02-22;TGEsgtDA;-;-
2019-02-23;TGEgasDA;85.47;56976.00
2019-02-23;TGEglwDA;-;-
2019-02-23;TGEsgtDA;-;-
2019-02-24;TGEgasDA;83.73;17088.00
2019-02-24;TGEglwDA;-;-
2019-02-24;TGEsgtDA;-;-
2019-02-25;TGEgasDA;85.97;31344.00
2019-02-25;TGEglwDA;-;-
2019-02-25;TGEsgtDA;-;-
2019-02-26;TGEgasDA;83.94;16728.00
2019-02-26;TGEglwDA;-;-
2019-02-26;TGEsgtDA;-;-
2019-02-27;TGEgasDA;80.44;13968.00
2019-02-27;TGEglwDA;-;-
2019-02-27;TGEsgtDA;-;-
2019-02-28;TGEgasDA;78.66;23448.00
2019-02-28;TGEglwDA;-;-
2019-02-28;TGEsgtDA;-;-
2019-03-01;TGEgasDA;85.23;104976.00
2019-03-01;TGEglwDA;-;-
2019-03-01;TGEsgtDA;-;-
2019-03-02;TGEgasDA;85.67;141792.00
2019-03-02;TGEglwDA;-;-
2019-03-02;TGEsgtDA;-;-
2019-03-03;TGEgasDA;82.29;12648.00
2019-03-03;TGEglwDA;-;-
2019-03-03;TGEsgtDA;-;-
2019-03-04;TGEgasDA;86.00;36072.00
2019-03-04;TGEglwDA;-;-
2019-03-04;TGEsgtDA;-;-
2019-03-05;TGEgasDA;84.94;52248.00
2019-03-05;TGEglwDA;-;-
2019-03-05;TGEsgtDA;-;-
2019-03-06;TGEgasDA;84.65;63336.00
2019-03-06;TGEglwDA;-;-
2019-03-06;TGEsgtDA;-;-
2019-03-07;TGEgasDA;83.20;34560.00
2019-03-07;TGEglwDA;-;-
2019-03-07;TGEsgtDA;-;-
2019-03-08;TGEgasDA;82.66;43896.00
2019-03-08;TGEglwDA;-;-
2019-03-08;TGEsgtDA;-;-
2019-03-09;TGEgasDA;79.38;27504.00
2019-03-09;TGEglwDA;-;-
2019-03-09;TGEsgtDA;-;-
2019-03-10;TGEgasDA;80.12;16488.00
2019-03-10;TGEglwDA;-;-
2019-03-10;TGEsgtDA;-;-
2019-03-11;TGEgasDA;83.41;96360.00
2019-03-11;TGEglwDA;-;-
2019-03-11;TGEsgtDA;-;-
2019-03-12;TGEgasDA;82.93;112704.00
2019-03-12;TGEglwDA;-;-
2019-03-12;TGEsgtDA;-;-
2019-03-13;TGEgasDA;82.27;90984.00
2019-03-13;TGEglwDA;-;-
2019-03-13;TGEsgtDA;-;-
2019-03-14;TGEgasDA;80.00;81912.00
2019-03-14;TGEglwDA;-;-
2019-03-14;TGEsgtDA;-;-
2019-03-15;TGEgasDA;79.11;66096.00
2019-03-15;TGEglwDA;-;-
2019-03-15;TGEsgtDA;-;-
2019-03-16;TGEgasDA;75.94;52488.00
2019-03-16;TGEglwDA;-;-
2019-03-16;TGEsgtDA;-;-
2019-03-17;TGEgasDA;68.28;6672.00
2019-03-17;TGEglwDA;-;-
2019-03-17;TGEsgtDA;-;-
2019-03-18;TGEgasDA;74.89;48192.00
2019-03-18;TGEglwDA;-;-
2019-03-18;TGEsgtDA;-;-
2019-03-19;TGEgasDA;74.80;79968.00
2019-03-19;TGEglwDA;-;-
2019-03-19;TGEsgtDA;-;-
2019-03-20;TGEgasDA;76.41;77184.00
2019-03-20;TGEglwDA;-;-
2019-03-20;TGEsgtDA;-;-
2019-03-21;TGEgasDA;73.92;54744.00
2019-03-21;TGEglwDA;-;-
2019-03-21;TGEsgtDA;-;-
2019-03-22;TGEgasDA;73.30;41232.00
2019-03-22;TGEglwDA;-;-
2019-03-22;TGEsgtDA;-;-
2019-03-23;TGEgasDA;64.44;36024.00
2019-03-23;TGEglwDA;-;-
2019-03-23;TGEsgtDA;-;-
2019-03-24;TGEgasDA;67.00;2208.00
2019-03-24;TGEglwDA;-;-
2019-03-24;TGEsgtDA;-;-
2019-03-25;TGEgasDA;73.01;48144.00
2019-03-25;TGEglwDA;-;-
2019-03-25;TGEsgtDA;-;-
2019-03-26;TGEgasDA;72.03;78864.00
2019-03-26;TGEglwDA;-;-
2019-03-26;TGEsgtDA;-;-
2019-03-27;TGEgasDA;71.92;79944.00
2019-03-27;TGEglwDA;-;-
2019-03-27;TGEsgtDA;-;-
2019-03-28;TGEgasDA;73.04;52776.00
2019-03-28;TGEglwDA;-;-
2019-03-28;TGEsgtDA;-;-
2019-03-29;TGEgasDA;72.84;10656.00
2019-03-29;TGEglwDA;-;-
2019-03-29;TGEsgtDA;-;-
2019-03-30;TGEgasDA;62.66;43595.00
2019-03-30;TGEglwDA;-;-
2019-03-30;TGEsgtDA;-;-
2019-03-31;TGEgasDA;61.70;3384.00
2019-03-31;TGEglwDA;-;-
2019-03-31;TGEsgtDA;-;-
2019-04-01;TGEgasDA;74.08;128808.00
2019-04-01;TGEglwDA;-;-
2019-04-01;TGEsgtDA;-;-
2019-04-02;TGEgasDA;73.87;102000.00
2019-04-02;TGEglwDA;-;-
2019-04-02;TGEsgtDA;-;-
2019-04-03;TGEgasDA;69.89;75384.00
2019-04-03;TGEglwDA;-;-
2019-04-03;TGEsgtDA;-;-
2019-04-04;TGEgasDA;69.98;74712.00
2019-04-04;TGEglwDA;-;-
2019-04-04;TGEsgtDA;-;-
2019-04-05;TGEgasDA;74.47;22296.00
2019-04-05;TGEglwDA;-;-
2019-04-05;TGEsgtDA;-;-
2019-04-06;TGEgasDA;77.65;30720.00
2019-04-06;TGEglwDA;-;-
2019-04-06;TGEsgtDA;-;-
2019-04-07;TGEgasDA;79.84;14208.00
2019-04-07;TGEglwDA;-;-
2019-04-07;TGEsgtDA;-;-
2019-04-08;TGEgasDA;82.40;63816.00
2019-04-08;TGEglwDA;-;-
2019-04-08;TGEsgtDA;-;-
2019-04-09;TGEgasDA;79.51;82056.00
2019-04-09;TGEglwDA;-;-
2019-04-09;TGEsgtDA;-;-
2019-04-10;TGEgasDA;81.78;119160.00
2019-04-10;TGEglwDA;-;-
2019-04-10;TGEsgtDA;-;-
2019-04-11;TGEgasDA;85.61;138792.00
2019-04-11;TGEglwDA;-;-
2019-04-11;TGEsgtDA;-;-
2019-04-12;TGEgasDA;78.97;147192.00
2019-04-12;TGEglwDA;-;-
2019-04-12;TGEsgtDA;-;-
2019-04-13;TGEgasDA;80.63;283344.00
2019-04-13;TGEglwDA;-;-
2019-04-13;TGEsgtDA;-;-
2019-04-14;TGEgasDA;80.07;21624.00
2019-04-14;TGEglwDA;-;-
2019-04-14;TGEsgtDA;-;-
2019-04-15;TGEgasDA;80.49;141624.00
2019-04-15;TGEglwDA;-;-
2019-04-15;TGEsgtDA;-;-
2019-04-16;TGEgasDA;79.54;119592.00
2019-04-16;TGEglwDA;-;-
2019-04-16;TGEsgtDA;-;-
2019-04-17;TGEgasDA;74.55;89832.00
2019-04-17;TGEglwDA;-;-
2019-04-17;TGEsgtDA;-;-
2019-04-18;TGEgasDA;74.65;41640.00
2019-04-18;TGEglwDA;-;-
2019-04-18;TGEsgtDA;-;-
2019-04-19;TGEgasDA;74.22;32112.00
2019-04-19;TGEglwDA;-;-
2019-04-19;TGEsgtDA;-;-
2019-04-20;TGEgasDA;69.95;24720.00
2019-04-20;TGEglwDA;-;-
2019-04-20;TGEsgtDA;-;-
2019-04-21;TGEgasDA;66.96;6984.00
2019-04-21;TGEglwDA;-;-
2019-04-21;TGEsgtDA;-;-
2019-04-22;TGEgasDA;65.26;25416.00
2019-04-22;TGEglwDA;-;-
2019-04-22;TGEsgtDA;-;-
2019-04-23;TGEgasDA;72.43;17376.00
2019-04-23;TGEglwDA;-;-
2019-04-23;TGEsgtDA;-;-
2019-04-24;TGEgasDA;71.18;14496.00
2019-04-24;TGEglwDA;-;-
2019-04-24;TGEsgtDA;-;-
2019-04-25;TGEgasDA;71.24;15360.00
2019-04-25;TGEglwDA;-;-
2019-04-25;TGEsgtDA;-;-
2019-04-26;TGEgasDA;70.18;36096.00
2019-04-26;TGEglwDA;-;-
2019-04-26;TGEsgtDA;-;-
2019-04-27;TGEgasDA;70.48;27144.00
2019-04-27;TGEglwDA;-;-
2019-04-27;TGEsgtDA;-;-
2019-04-28;TGEgasDA;70.81;5376.00
2019-04-28;TGEglwDA;-;-
2019-04-28;TGEsgtDA;-;-
2019-04-29;TGEgasDA;71.35;26520.00
2019-04-29;TGEglwDA;-;-
2019-04-29;TGEsgtDA;-;-
2019-04-30;TGEgasDA;73.08;18672.00
2019-04-30;TGEglwDA;-;-
2019-04-30;TGEsgtDA;-;-
2019-05-01;TGEgasDA;69.16;8760.00
2019-05-01;TGEglwDA;-;-
2019-05-01;TGEsgtDA;-;-
2019-05-02;TGEgasDA;69.21;14016.00
2019-05-02;TGEglwDA;-;-
2019-05-02;TGEsgtDA;-;-
2019-05-03;TGEgasDA;69.06;10368.00
2019-05-03;TGEglwDA;-;-
2019-05-03;TGEsgtDA;-;-
2019-05-04;TGEgasDA;72.42;19536.00
2019-05-04;TGEglwDA;-;-
2019-05-04;TGEsgtDA;-;-
2019-05-05;TGEgasDA;72.45;24816.00
2019-05-05;TGEglwDA;-;-
2019-05-05;TGEsgtDA;-;-
2019-05-06;TGEgasDA;73.04;60696.00
2019-05-06;TGEglwDA;-;-
2019-05-06;TGEsgtDA;-;-
2019-05-07;TGEgasDA;73.64;108408.00
2019-05-07;TGEglwDA;-;-
2019-05-07;TGEsgtDA;-;-
2019-05-08;TGEgasDA;73.86;83568.00
2019-05-08;TGEglwDA;-;-
2019-05-08;TGEsgtDA;-;-
2019-05-09;TGEgasDA;72.03;76800.00
2019-05-09;TGEglwDA;-;-
2019-05-09;TGEsgtDA;-;-
2019-05-10;TGEgasDA;72.78;71328.00
2019-05-10;TGEglwDA;-;-
2019-05-10;TGEsgtDA;-;-
2019-05-11;TGEgasDA;70.54;1344.00
2019-05-11;TGEglwDA;-;-
2019-05-11;TGEsgtDA;-;-
2019-05-12;TGEgasDA;66.20;1032.00
2019-05-12;TGEglwDA;-;-
2019-05-12;TGEsgtDA;-;-
2019-05-13;TGEgasDA;70.65;65880.00
2019-05-13;TGEglwDA;-;-
2019-05-13;TGEsgtDA;-;-
2019-05-14;TGEgasDA;71.16;78576.00
2019-05-14;TGEglwDA;-;-
2019-05-14;TGEsgtDA;-;-
2019-05-15;TGEgasDA;70.03;72216.00
2019-05-15;TGEglwDA;-;-
2019-05-15;TGEsgtDA;-;-
2019-05-16;TGEgasDA;70.04;66912.00
2019-05-16;TGEglwDA;-;-
2019-05-16;TGEsgtDA;-;-
2019-05-17;TGEgasDA;69.88;54000.00
2019-05-17;TGEglwDA;-;-
2019-05-17;TGEsgtDA;-;-
2019-05-18;TGEgasDA;60.51;2664.00
2019-05-18;TGEglwDA;-;-
2019-05-18;TGEsgtDA;-;-
2019-05-19;TGEgasDA;56.60;7992.00
2019-05-19;TGEglwDA;-;-
2019-05-19;TGEsgtDA;-;-
2019-05-20;TGEgasDA;63.41;10656.00
2019-05-20;TGEglwDA;-;-
2019-05-20;TGEsgtDA;-;-
2019-05-21;TGEgasDA;64.78;12144.00
2019-05-21;TGEglwDA;-;-
2019-05-21;TGEsgtDA;-;-
2019-05-22;TGEgasDA;62.62;16536.00
2019-05-22;TGEglwDA;-;-
2019-05-22;TGEsgtDA;-;-
2019-05-23;TGEgasDA;62.89;28008.00
2019-05-23;TGEglwDA;-;-
2019-05-23;TGEsgtDA;-;-
2019-05-24;TGEgasDA;61.39;20304.00
2019-05-24;TGEglwDA;-;-
2019-05-24;TGEsgtDA;-;-
2019-05-25;TGEgasDA;58.35;936.00
2019-05-25;TGEglwDA;-;-
2019-05-25;TGEsgtDA;-;-
2019-05-26;TGEgasDA;54.10;10032.00
2019-05-26;TGEglwDA;-;-
2019-05-26;TGEsgtDA;-;-
2019-05-27;TGEgasDA;60.79;9072.00
2019-05-27;TGEglwDA;-;-
2019-05-27;TGEsgtDA;-;-
2019-05-28;TGEgasDA;60.31;9672.00
2019-05-28;TGEglwDA;-;-
2019-05-28;TGEsgtDA;-;-
2019-05-29;TGEgasDA;60.99;21648.00
2019-05-29;TGEglwDA;-;-
2019-05-29;TGEsgtDA;-;-
2019-05-30;TGEgasDA;61.53;19176.00
2019-05-30;TGEglwDA;-;-
2019-05-30;TGEsgtDA;-;-
2019-05-31;TGEgasDA;58.27;14616.00
2019-05-31;TGEglwDA;-;-
2019-05-31;TGEsgtDA;-;-
2019-06-01;TGEgasDA;54.49;960.00
2019-06-01;TGEglwDA;-;-
2019-06-01;TGEsgtDA;-;-
2019-06-02;TGEgasDA;48.59;1080.00
2019-06-02;TGEglwDA;-;-
2019-06-02;TGEsgtDA;-;-
2019-06-03;TGEgasDA;52.86;7152.00
2019-06-03;TGEglwDA;-;-
2019-06-03;TGEsgtDA;-;-
2019-06-04;TGEgasDA;50.98;10368.00
2019-06-04;TGEglwDA;-;-
2019-06-04;TGEsgtDA;-;-
2019-06-05;TGEgasDA;51.61;14112.00
2019-06-05;TGEglwDA;-;-
2019-06-05;TGEsgtDA;-;-
2019-06-06;TGEgasDA;54.51;11160.00
2019-06-06;TGEglwDA;-;-
2019-06-06;TGEsgtDA;-;-
2019-06-07;TGEgasDA;53.55;9024.00
2019-06-07;TGEglwDA;-;-
2019-06-07;TGEsgtDA;-;-
2019-06-08;TGEgasDA;47.91;2232.00
2019-06-08;TGEglwDA;-;-
2019-06-08;TGEsgtDA;-;-
2019-06-09;TGEgasDA;47.22;7464.00
2019-06-09;TGEglwDA;-;-
2019-06-09;TGEsgtDA;-;-
2019-06-10;TGEgasDA;52.49;9216.00
2019-06-10;TGEglwDA;-;-
2019-06-10;TGEsgtDA;-;-
2019-06-11;TGEgasDA;55.05;9552.00
2019-06-11;TGEglwDA;-;-
2019-06-11;TGEsgtDA;-;-
2019-06-12;TGEgasDA;54.60;15528.00
2019-06-12;TGEglwDA;-;-
2019-06-12;TGEsgtDA;-;-
2019-06-13;TGEgasDA;52.45;16224.00
2019-06-13;TGEglwDA;-;-
2019-06-13;TGEsgtDA;-;-
2019-06-14;TGEgasDA;54.41;13008.00
2019-06-14;TGEglwDA;-;-
2019-06-14;TGEsgtDA;-;-
2019-06-15;TGEgasDA;47.95;2208.00
2019-06-15;TGEglwDA;-;-
2019-06-15;TGEsgtDA;-;-
2019-06-16;TGEgasDA;46.27;7536.00
2019-06-16;TGEglwDA;-;-
2019-06-16;TGEsgtDA;-;-
2019-06-17;TGEgasDA;53.10;9984.00
2019-06-17;TGEglwDA;-;-
2019-06-17;TGEsgtDA;-;-
2019-06-18;TGEgasDA;53.29;13296.00
2019-06-18;TGEglwDA;-;-
2019-06-18;TGEsgtDA;-;-
2019-06-19;TGEgasDA;53.26;12240.00
2019-06-19;TGEglwDA;-;-
2019-06-19;TGEsgtDA;-;-
2019-06-20;TGEgasDA;45.89;12768.00
2019-06-20;TGEglwDA;-;-
2019-06-20;TGEsgtDA;-;-
2019-06-21;TGEgasDA;47.16;11712.00
2019-06-21;TGEglwDA;-;-
2019-06-21;TGEsgtDA;-;-
2019-06-22;TGEgasDA;42.29;3600.00
2019-06-22;TGEglwDA;-;-
2019-06-22;TGEsgtDA;-;-
2019-06-23;TGEgasDA;43.90;8160.00
2019-06-23;TGEglwDA;-;-
2019-06-23;TGEsgtDA;-;-
2019-06-24;TGEgasDA;49.86;17208.00
2019-06-24;TGEglwDA;-;-
2019-06-24;TGEsgtDA;-;-
2019-06-25;TGEgasDA;49.48;11184.00
2019-06-25;TGEglwDA;-;-
2019-06-25;TGEsgtDA;-;-
2019-06-26;TGEgasDA;47.52;11808.00
2019-06-26;TGEglwDA;-;-
2019-06-26;TGEsgtDA;-;-
2019-06-27;TGEgasDA;46.69;12864.00
2019-06-27;TGEglwDA;-;-
2019-06-27;TGEsgtDA;-;-
2019-06-28;TGEgasDA;45.41;6648.00
2019-06-28;TGEglwDA;-;-
2019-06-28;TGEsgtDA;-;-
2019-06-29;TGEgasDA;39.91;1176.00
2019-06-29;TGEglwDA;-;-
2019-06-29;TGEsgtDA;-;-
2019-06-30;TGEgasDA;39.88;6384.00
2019-06-30;TGEglwDA;-;-
2019-06-30;TGEsgtDA;-;-
2019-07-01;TGEgasDA;44.79;12816.00
2019-07-01;TGEglwDA;-;-
2019-07-01;TGEsgtDA;-;-
2019-07-02;TGEgasDA;48.64;11160.00
2019-07-02;TGEglwDA;-;-
2019-07-02;TGEsgtDA;-;-
2019-07-03;TGEgasDA;50.32;15744.00
2019-07-03;TGEglwDA;-;-
2019-07-03;TGEsgtDA;-;-
2019-07-04;TGEgasDA;50.13;13680.00
2019-07-04;TGEglwDA;-;-
2019-07-04;TGEsgtDA;-;-
2019-07-05;TGEgasDA;49.54;12120.00
2019-07-05;TGEglwDA;-;-
2019-07-05;TGEsgtDA;-;-
2019-07-06;TGEgasDA;45.36;1080.00
2019-07-06;TGEglwDA;-;-
2019-07-06;TGEsgtDA;-;-
2019-07-07;TGEgasDA;46.55;4608.00
2019-07-07;TGEglwDA;-;-
2019-07-07;TGEsgtDA;-;-
2019-07-08;TGEgasDA;51.57;13320.00
2019-07-08;TGEglwDA;-;-
2019-07-08;TGEsgtDA;-;-
2019-07-09;TGEgasDA;54.59;21192.00
2019-07-09;TGEglwDA;-;-
2019-07-09;TGEsgtDA;-;-
